timestamp,open,high,low,close,volume
0,98.00,100.00,97.50,99.00,1000000
1,94.00,96.00,93.50,95.00,1000000
2,91.00,93.00,90.50,92.00,1000000
3,89.00,91.00,88.50,90.00,1000000
4,87.00,89.00,86.50,88.00,1000000
5,86.00,88.00,85.50,87.00,1000000
6,85.00,87.00,84.50,86.00,1000000
7,84.00,86.00,83.50,85.00,1000000
8,80.00,82.00,79.50,81.00,1000000
9,81.50,83.00,80.50,81.00,1200000
10,78.00,80.00,77.50,79.00,1000000
11,76.40,78.40,75.90,77.40,1000000
12,74.80,76.80,74.30,75.80,1000000
13,73.20,75.20,72.70,74.20,1000000
14,71.70,73.70,71.20,72.70,1000000
15,70.20,72.20,69.70,71.20,1000000
16,68.70,70.70,68.20,69.70,1000000
17,67.20,69.20,66.70,68.20,1000000
18,67.90,68.89,67.00,67.50,1200000
19,64.40,66.40,63.90,65.40,1000000
20,63.00,65.00,62.50,64.00,1000000
21,61.70,63.70,61.20,62.70,1000000
22,60.40,62.40,59.90,61.40,1000000
